damping,tolerance,iterations,time,p_min,p_25,p_50,p_75,p_max
0.75,1.0e-7,42.0,1.4317852973937988,0.00004774590873751582,0.00004774590873751582,0.00006440229654725063,0.0001389774979197829,0.005341695107090534
0.75,1.0e-8,52.0,1.7656098365783692,0.00004774590866392058,0.00004774590866392058,0.00006440233250369424,0.0001389771220932809,0.005341690426610369
0.75,1.0e-9,57.0,1.9324605464935303,0.000047745908658684995,0.000047745908658684995,0.00006440233472596886,0.00013897709914699507,0.005341690091448087
0.8,1.0e-10,77.0,2.6001900672912597,0.00003761787025715824,0.00003761787025715824,0.000055470766802715964,0.00013398894583070573,0.005762534357142948
0.8,1.0e-6,42.0,1.435955572128296,0.00003761787090356567,0.00003761787090356567,0.00005547074384501684,0.0001339897680704193,0.005762582323688612
0.8,1.0e-7,57.0,1.9367807388305665,0.00003761787029572106,0.00003761787029572106,0.000055470766584235186,0.00013398896557021946,0.005762536663750642
0.8,1.0e-8,70.0,2.371751308441162,0.00003761787025982846,0.00003761787025982846,0.00005547076681175946,0.0001339889462616741,0.005762534489762603
0.8,1.0e-9,76.0,2.5653874397277834,0.00003761787025736642,0.00003761787025736642,0.00005547076680388669,0.0001339889458458905,0.005762534366914503
0.85,1.0e-10,111.0,3.725268840789795,0.000027733214456063432,0.000027733214456063432,0.000046793574870701644,0.0001258375636816133,0.006263710971807368
0.85,1.0e-6,60.0,2.0337109088897707,0.00002773321476067257,0.00002773321476067257,0.000046793419917922914,0.00012583913078183083,0.006263734362873111
0.85,1.0e-7,82.0,2.7622682571411135,0.000027733214470856175,0.000027733214470856175,0.00004679356944178315,0.00012583761781832654,0.006263711762216899
0.85,1.0e-8,101.0,3.4002874851226808,0.000027733214456932454,0.000027733214456932454,0.000046793574609264274,0.00012583756623714025,0.006263711009112649
0.85,1.0e-9,109.0,3.6640772819519043,0.000027733214456158354,0.000027733214456158354,0.00004679357484360846,0.00012583756394658041,0.006263710975671996
0.9,1.0e-10,178.0,5.956199026107788,0.000018145315489578594,0.000018145315489578594,0.00003785428858984277,0.00011672076534850816,0.006756135149782033
0.9,1.0e-6,98.0,3.296070432662964,0.000018145315560168904,0.000018145315560168904,0.00003785425983716647,0.00011672067643636748,0.006756140788590282
0.9,1.0e-7,133.0,4.4581889629364015,0.000018145315492107323,0.000018145315492107323,0.00003785428762127613,0.000116720761548806,0.006756135328716136
0.9,1.0e-8,163.0,5.461761808395385,0.00001814531548969333,0.00001814531548969333,0.000037854288552174146,0.00011672076519176403,0.006756135158428711
0.9,1.0e-9,176.0,5.881254625320435,0.000018145315489586255,0.000018145315489586255,0.00003785428858752124,0.00011672076533866125,0.0067561351503933175
0.95,1.0e-10,382.0,12.76649603843689,8.892487361449536e-6,8.892487361449536e-6,0.000027620198695929664,0.0001028866019560618,0.007274399324708058
0.95,1.0e-6,211.0,7.053903436660766,8.892487363202752e-6,8.892487363202752e-6,0.000027620199715195963,0.00010288661293231882,0.007274400071125636
0.95,1.0e-7,286.0,9.544956922531128,8.892487361480862e-6,8.892487361480862e-6,0.00002762019879301773,0.00010288660234767437,0.0072743993869978565
0.95,1.0e-8,350.0,11.679237174987794,8.892487361451221e-6,8.892487361451221e-6,0.000027620198705215984,0.00010288660198965747,0.007274399330596361
0.95,1.0e-9,377.0,12.588482809066772,8.89248736144969e-6,8.89248736144969e-6,0.00002762019869686244,0.00010288660195940802,0.00727439932529893
0.99,1.0e-10,999.0,33.29197430610657,1.7488142045559517e-6,1.7488142045559517e-6,0.000016958387305494102,0.00008197825572173961,0.0076636734107044645
