min_freq,max_freq,n_words,actual_words,clusters_init,iteration,it_converged,it_clusters,it_time
0.01,0.06,100,100,20,2,0,9,4.092365264892578
0.01,0.06,100,100,20,3,0,3,4.909853219985962
0.01,0.06,100,100,20,4,0,3,3.219628095626831
0.01,0.06,100,100,20,5,0,3,3.1440718173980713
0.01,0.06,100,100,20,6,0,3,3.1547484397888184
0.01,0.06,100,100,20,7,0,3,3.329345464706421
0.01,0.06,100,100,20,8,0,3,3.155858278274536
0.01,0.06,100,100,20,9,0,3,3.156571865081787
0.01,0.06,100,100,20,10,0,3,3.39286208152771
0.01,0.06,100,100,20,11,0,3,3.1426401138305664
0.01,0.06,100,100,20,12,0,3,3.2441587448120117
0.01,0.06,100,100,20,13,0,3,3.207624912261963
0.01,0.06,100,100,20,14,0,3,3.192721366882324
0.01,0.06,100,100,20,15,0,3,3.2000513076782227
0.01,0.06,100,100,20,16,0,3,3.1316206455230713
0.01,0.06,100,100,20,17,0,3,3.110846519470215
0.01,0.06,100,100,20,18,0,3,3.1323513984680176
0.01,0.06,100,100,20,19,0,3,3.1460180282592773
0.01,0.06,100,100,20,20,0,3,3.1433281898498535
0.01,0.07,100,100,20,1,0,10,3.008350372314453
0.01,0.07,100,100,20,2,0,10,4.487647533416748
0.01,0.07,100,100,20,3,0,1,5.292858600616455
0.01,0.07,100,100,20,4,1,1,3.219628095626831
0.01,0.08,100,100,20,1,0,13,3.324819564819336
0.01,0.08,100,100,20,2,0,13,4.961614608764648
0.01,0.08,100,100,20,3,0,1,6.091730833053589
0.01,0.08,100,100,20,4,1,1,3.219628095626831
0.01,0.09,100,100,20,1,0,16,3.282918691635132
0.01,0.09,100,100,20,2,0,16,5.802793025970459
0.01,0.09,100,100,20,3,0,9,6.787209749221802
0.01,0.09,100,100,20,4,0,3,4.869795083999634
0.01,0.09,100,100,20,5,0,2,3.1667606830596924
0.01,0.09,100,100,20,6,1,2,3.1547484397888184
0.02,0.1,100,100,20,1,0,14,3.3836827278137207
0.02,0.1,100,100,20,2,0,14,5.512606620788574
0.02,0.1,100,100,20,3,0,2,6.466693639755249
0.02,0.1,100,100,20,4,1,2,4.869795083999634
0.02,0.03,100,100,20,1,0,6,2.5930535793304443
0.02,0.03,100,100,20,2,0,6,2.972993850708008
0.02,0.03,100,100,20,3,0,6,3.4560775756835938
0.02,0.03,100,100,20,4,0,3,3.5038304328918457
0.02,0.03,100,100,20,5,0,2,2.865161895751953
0.02,0.03,100,100,20,6,1,2,3.1547484397888184
0.2,0.3,100,61,20,1,0,20,4.677809715270996
0.2,0.3,100,61,20,2,0,1,6.543906927108765
0.2,0.3,100,61,20,3,1,1,3.4560775756835938
0.02,0.04,100,100,20,1,0,6,2.718518018722534
0.02,0.04,100,100,20,2,0,6,3.280691385269165
0.02,0.04,100,100,20,3,0,1,3.725123643875122
0.02,0.04,100,100,20,4,1,1,3.5038304328918457
0.2,0.4,100,84,20,1,0,20,5.980469465255737
0.2,0.4,100,84,20,2,0,2,8.222831964492798
0.2,0.4,100,84,20,3,1,2,3.725123643875122
0.02,0.05,100,100,20,1,0,6,2.8895092010498047
0.02,0.05,100,100,20,2,0,6,3.394653558731079
0.02,0.05,100,100,20,3,0,1,3.900083541870117
0.02,0.05,100,100,20,4,1,1,3.5038304328918457
0.2,0.5,100,91,20,1,0,20,5.750913381576538
0.2,0.5,100,91,20,2,0,1,8.976771116256714
0.2,0.5,100,91,20,3,1,1,3.900083541870117
0.02,0.06,100,100,20,1,0,7,3.1211440563201904
0.02,0.06,100,100,20,2,0,7,3.8970983028411865
0.02,0.06,100,100,20,3,0,1,4.192293167114258
0.02,0.06,100,100,20,4,1,1,3.5038304328918457
0.2,0.6,100,95,20,1,0,20,5.324858903884888
0.2,0.6,100,95,20,2,0,3,9.21613073348999
0.2,0.6,100,95,20,3,0,2,3.593879461288452
0.2,0.6,100,95,20,4,1,2,3.5038304328918457
0.02,0.07,100,100,20,1,0,13,3.050549268722534
0.02,0.07,100,100,20,2,0,13,4.769221782684326
0.02,0.07,100,100,20,3,0,2,5.909101963043213
0.02,0.07,100,100,20,4,1,2,3.5038304328918457
0.2,0.7,100,96,20,1,0,20,6.05582857131958
0.2,0.7,100,96,20,2,0,1,9.133939504623413
0.2,0.7,100,96,20,3,1,1,5.909101963043213
0.02,0.08,100,100,20,1,0,10,3.304619550704956
0.02,0.08,100,100,20,2,0,10,4.471832036972046
0.02,0.08,100,100,20,3,0,2,5.304467678070068
0.02,0.08,100,100,20,4,1,2,3.5038304328918457
0.2,0.8,100,99,20,1,0,20,6.293775796890259
0.2,0.8,100,99,20,2,0,1,9.290927410125732
0.2,0.8,100,99,20,3,1,1,5.304467678070068
0.02,0.09,100,100,20,1,0,13,3.3203537464141846
0.02,0.09,100,100,20,2,0,13,5.079391717910767
0.02,0.09,100,100,20,3,0,2,6.294047594070435
